SECTION,MODEL PERFORMANCE METRICS,,,,,
,Model,PR-AUC,ROC-AUC,Brier Score,PR-AUC Lift vs Baseline,Best By
,Naive Baseline (majority class),0.3341,0.5000,—,—,—
,Logistic Regression,0.7151,0.8032,0.1755,+114.1%,"PR-AUC, ROC-AUC"
,Random Forest,0.7044,0.7938,0.1690,+110.8%,Brier (calibration)
,XGBoost (tuned),0.7056,0.7970,0.1742,+111.2%,—
,,,,,,
SECTION,LOGISTIC REGRESSION PARAMETERS,,,,,
,Parameter,Value,,,,
,penalty,l2,,,,
,C (regularization),0.1,,,,
,class_weight,balanced,,,,
,solver,lbfgs,,,,
,max_iter,1000,,,,
,Feature preprocessing,log1p + StandardScaler on 13 skewed features,,,,
,,,,,,
SECTION,RANDOM FOREST PARAMETERS,,,,,
,Parameter,Value,,,,
,n_estimators,300,,,,
,max_depth,10,,,,
,min_samples_leaf,5,,,,
,class_weight,balanced_subsample,,,,
,Feature preprocessing,None (scale-invariant),,,,
,,,,,,
SECTION,XGBOOST PARAMETERS (best from RandomizedSearchCV),,,,,
,Parameter,Value (example — see xgb_best_model.pkl for exact),,,,
,objective,binary:logistic,,,,
,eval_metric,aucpr,,,,
,scale_pos_weight,~2.0 (neg/pos ratio),,,,
,n_estimators,200–500 (tuned),,,,
,max_depth,3–6 (tuned),,,,
,learning_rate,0.02–0.10 (tuned),,,,
,subsample,0.65–0.95 (tuned),,,,
,colsample_bytree,0.65–0.95 (tuned),,,,
,HP search,"RandomizedSearchCV, 30 iter, 5-fold stratified CV, scoring=average_precision",,,,
,,,,,,
SECTION,FEATURES (20 total),,,,,
,Feature,Type,Group,Transformation (LR only),EDA Signal,
,recency_days,numeric,RFM,StandardScaler,Strong (neg),
,frequency,numeric,RFM,log1p + scale,Strong (pos),
,monetary_total,numeric,RFM,log1p + scale,Moderate (pos),
,monetary_avg_basket,numeric,RFM,log1p + scale,Moderate (pos),
,tenure_days,numeric,RFM,log1p + scale,Moderate (pos),
,n_unique_products,numeric,Behavioral,log1p + scale,Moderate,
,n_unique_categories_proxy,numeric,Behavioral,log1p + scale,Moderate,
,basket_size_avg,numeric,Behavioral,log1p + scale,Low-mod,
,basket_size_std,numeric,Behavioral,log1p + scale,Low,
,n_cancel_invoices,numeric,Behavioral,log1p + scale,Low,
,return_rate,numeric,Behavioral,StandardScaler,Low,
,weekend_share,numeric,Temporal,StandardScaler,Weak,
,interpurchase_time_mean,numeric,Temporal,log1p + scale,Strong (neg),
,interpurchase_time_max,numeric,Temporal,log1p + scale,Moderate (neg),
,last_gap_days,numeric,Temporal,log1p + scale,Strong (neg),
,last_vs_avg_gap_ratio,numeric,Temporal,StandardScaler,Strong (neg),
,avg_unit_price,numeric,Price,log1p + scale,Low,
,is_uk,binary,Geography,passthrough,Moderate,
,price_tier_mid*,binary (OHE),Price,passthrough,Low,
,price_tier_high*,binary (OHE),Price,passthrough,Low,
,,,,,,
SECTION,DATA SPLIT,,,,,
,Split type,Stratified random (80/20),,,,
,Train rows,"~4,640",,,,
,Test rows,"~1,160",,,,
,Random state,42,,,,
,Target: repurchase_90d,1 = repurchased within 90 days of Feb 1 2011,,,,
,Positive rate (train),~33.4%,,,,
,Positive rate (test),~33.4% (stratified),,,,
,Note,Features from calibration period (Dec 2009–Jan 2011); labels from holdout (Feb–Aug 2011),,,,
